scenario,variant,alpha,X_final,glc_final,etoh_final,formate_final,acetate_final,lactate_final,succinate_final,peak_S,eps_C,opt_frac
A_baseline,A,0.0,0.43692520712694555,36.76102676165046,6.93080983057281,15.708290318065611,7.143577621531188,16.322054006370895,0.13105202894070567,0.0,0.0004774965329335691,1.0
B_PAW_no_FOR,A,0.5,0.4703888292969353,35.81794387960496,10.694199883734198,33.26275548719309,13.401881654266433,0.25524593258023154,0.1434775140995414,4.275,-0.1284857910071317,1.0
C_no_PAW,A,0.0,0.43692520712698196,36.76102676164947,6.930809830573201,32.07239860517567,11.25563183367764,0.0,0.1310520289407183,0.0,-0.2226710260412738,1.0
D_PAW_opt,A,0.5,0.47038882929691084,35.817943879605345,10.94944581631425,33.262755487192294,13.401881654266065,0.0,0.143477514099533,4.275,-0.12848579100714044,1.0
E_PAW_ADH_closed,A,0.5,0.3263677496013969,40.28262020685937,0.0,25.98680158189502,6.332593134850517,0.2769186673531304,0.09432318930495623,4.275,-0.4184145960233907,1.0
A_baseline,B,0.0,0.35279192867987946,39.198085044984424,6.004727682905919,28.16428037136439,9.865857183848696,0.0,0.10233837475564125,0.0,-0.2309906372717232,1.0
B_PAW_no_FOR,B,0.5,0.3810506918254642,38.35887223642303,9.429055830286945,29.198464684110533,11.809041781048487,0.26959529696364143,0.11294233807517476,4.275,-0.13143264168430524,1.0
C_no_PAW,B,0.0,0.3527919286798756,39.198085044984545,6.004727682905876,28.16354277579632,9.865303987172759,0.0,0.10233837475563978,0.0,-0.23100230667334298,1.0
D_PAW_opt,B,0.5,0.3810506918254555,38.35887223642328,9.42905583028682,29.198464684110085,11.809041781048279,0.2695952969636414,0.1129423380751716,4.275,-0.13143264168430766,1.0
E_PAW_ADH_closed,B,0.5,0.2635231521612057,42.202574157332904,0.0,22.85856419021054,5.587730579910988,0.2847895773085726,0.07291757863635008,4.275,-0.4261566577266712,1.0
